"","ID","year","narrowness"
"L113_R_20120529DKE_JF1-0512_Processed","L113",2012,3.19484693369869
"L114_R_20100221DKE_DG4-227_Processed","L114",2010,2.83101791276754
"L114_R_20100221KCB_DG4-2312_Processed","L114",2010,2.64681281142536
"L114_R_20100221KCB_DG4-2360_Processed","L114",2010,2.71261666433863
"L115_R_20110706AVG_SJ3-105_processed","L115",2011,2.73607518611948
"L115_R_20110710AVG_SJ1-244_Processed","L115",2011,2.59964258845559
"L116_R_20110706DKE_SJ3-052_processed","L116",2011,3.02764596460698
"L116_R_20110710AVG_SJ1-014_processed","L116",2011,3.1227919015076
"L116_R_20130605DKE_SJ1-0291_processed","L116",2013,3.08739980182737
"L116_R_20130709DKE_SJ1-099_processed","L116",2013,2.89735117713556
"L116_R_20150225JTF_WA7-052_processed","L116",2015,3.12863175165567
"L116_R_20150723DKE_SJ1-1476_processed","L116",2015,3.23511972208019
"L116_R_20160605DKE_SJ2-0283_processed","L116",2016,2.98142494993594
"L116_R_20160820DKE_SJ1-0284_Processed","L116",2016,3.08495113844393
"L117_R_20150903DKE_SJ1-353_Processed","L117",2015,2.81208400365387
"L117_R_20161028DKE_SJ1-769_Processed","L117",2016,2.84403366159439
"L118_R_20110529DKE_SJ1-119_processed","L118",2011,2.2926799321834
"L118_R_20110706KCB_SJ2-071_Processed","L118",2011,2.41070234790244
"L118_R_20120529DKE_JF1-0271_Processed","L118",2012,2.68254516739488
"L118_R_20120813DKE_SJ2-0483_Processed","L118",2012,2.74507887099457
"L118_R_20140619DKE_SJ1-0036_Processed","L118",2014,2.52752695522424
"L118_R_20150603EEH_SJ1-233_Processed","L118",2015,2.90551246694176
"L118_R_20150621DKE_SJ2-175_Processed","L118",2015,2.92480674271023
"L119_R_20120529DKE_JF1-0533_Processed","L119",2012,2.72649359934925
"L119_R_20120626MLM_SJ7-024_Processed","L119",2012,2.37494528117936
"L119_R_20120727DKE_SJ0-179_Processed","L119",2012,2.56918835338521
"L119_R_20120813DKE_SJ2-0111_Processed","L119",2012,2.57550918056315
"L119_R_20120813DKE_SJ2-0265_Processed","L119",2012,2.44852303773273
"L119_R_20120906BAB_SJ4-111_Processed","L119",2012,2.53403396851866
"L119_R_20130601DKE_SJ1-1575_Processed","L119",2013,2.61228692052877
"L119_R_20130601EEH_SJ1-992_Processed","L119",2013,2.5922102609173
"L119_R_20130617DKE_JF1-0991_Processed","L119",2013,2.50541548379922
"L119_R_20130617EEH_JF1-0657_Processed","L119",2013,2.58111711342548
"L119_R_20150613BAB_JF1-0401_Processed","L119",2015,2.66711433388555
"L119_R_20150613BAB_JF1-0444_Processed","L119",2015,2.68244402715212
"L119_R_20150613DKE_JF1-0182_Processed","L119",2015,2.88565327234872
"L119_R_20160907DKE_SJ1-0676_Processed","L119",2016,2.77746329494505
"L12_R_20080811MMC_DG1-046_Processed","L12",2008,3.43064539634895
"L121_R_20150225JTF_WA7-043_Processed","L121",2015,2.73371565662696
"L121_R_20150226CKE_WA7-191_Processed","L121",2015,2.62610833245974
"L121_R_20150613BAB_JF1-0500_Processed","L121",2015,2.6110676108287
"L121_R_20150613DKE_JF1-0796_Processed","L121",2015,2.50766863724738
"L121_R_20150613DKE_JF1-0812_Processed","L121",2015,2.60118492882002
"L121_R_20160714DKE_SJ1-1104_Processed","L121",2016,2.5276608265567
"L121_R_20170612DKE_JF2-259_Processed","L121",2017,2.81778166121102
"L121_R_20180517MCJ_WV7-030_Processed","L121",2018,2.72691590272659
"L122_R_20150907DKE_SJ1-0244_Processed","L122",2015,3.42800094981084
"L122_R_20150907DKE_SJ1-0287_Processed","L122",2015,3.24107329254441
"L122_R_20150907DKE_SJ1-0288_processed (1)","L122",2015,3.26553399680304
"L122_R_20150907DKE_SJ1-0288_Processed","L122",2015,3.14148224854547
"L122_R_20150907DKE_SJ1-0376_processed (1)","L122",2015,3.59135451386862
"L122_R_20150907DKE_SJ1-0376_Processed","L122",2015,3.636984569179
